Topic,Problem Name With Link,Problem Name,Problem Link,Done,Mark For Revision,Notes,Codes
,Longest Bitonic Subsequence,Longest Bitonic Subsequence,https://parikh.club/parikh_mixedadvancedsa12,0.0,0.0,,
,Longest Palindromic Substring,Longest Palindromic Substring,https://parikh.club/parikh_mixedadvancedsa13,0.0,0.0,,
,Number of balanced binary trees,Number of balanced binary trees,https://parikh.club/parikh_mixedadvancedsa14,0.0,0.0,,
,Merge intervals,Merge intervals,https://parikh.club/parikh_mixedadvancedsa15,0.0,0.0,,
,Merge K Sorted Linked List,Merge K Sorted Linked List,https://parikh.club/parikh_mixedadvancedsa16,0.0,0.0,,
,LCS of 3 strings,LCS of 3 strings,https://parikh.club/parikh_mixedadvancedsa17,0.0,0.0,,
,Clone Graph,Clone Graph,https://parikh.club/parikh_mixedadvancedsa18,0.0,0.0,,
,Minimum K product,Minimum K product,https://parikh.club/parikh_mixedadvancedsa19,0.0,0.0,,
,Longest Increasing Path in 2d matrix,Longest Increasing Path in 2d matrix,https://parikh.club/parikh_mixedadvancedsa20,0.0,0.0,,
,City With Smallest Number of Neighbours,City With Smallest Number of Neighbours,https://parikh.club/parikh_mixedadvancedsa21,0.0,0.0,,
,Non Overlapping Intervals,Non Overlapping Intervals,https://parikh.club/parikh_mixedadvancedsa22,0.0,0.0,,
,K most frequent elements,K most frequent elements,https://parikh.club/parikh_mixedadvancedsa23,0.0,0.0,,
,Maximum Equal Stack Sum,Maximum Equal Stack Sum,https://parikh.club/parikh_mixedadvancedsa24,0.0,0.0,,
,Minimum subset sum difference,Minimum subset sum difference,https://parikh.club/parikh_mixedadvancedsa25,0.0,0.0,,
,Word Break Problem,Word Break Problem,https://parikh.club/parikh_mixedadvancedsa26,0.0,0.0,,
,Find all occurrences of multiple patterns,Find all occurrences of multiple patterns,https://parikh.club/parikh_mixedadvancedsa27,0.0,0.0,,
,Unbounded Knapsack,Unbounded Knapsack,https://parikh.club/parikh_mixedadvancedsa28,0.0,0.0,,
,Fact Digit Sum,Fact Digit Sum,https://parikh.club/parikh_mixedadvancedsa29,0.0,0.0,,
,Palindrome Partitioning,Palindrome Partitioning,https://parikh.club/parikh_mixedadvancedsa30,0.0,0.0,,
,Sorted Matrix,Sorted Matrix,https://parikh.club/parikh_mixedadvancedsa31,0.0,0.0,,
,Alien Dictionary,Alien Dictionary,https://parikh.club/parikh_mixedadvancedsa32,0.0,0.0,,
,Word Ladder,Word Ladder,https://parikh.club/parikh_mixedadvancedsa33,0.0,0.0,,
,Scramble String,Scramble String,https://parikh.club/parikh_mixedadvancedsa34,0.0,0.0,,
,Painter's Partition,Painter's Partition,https://parikh.club/parikh_mixedadvancedsa35,0.0,0.0,,
,Longest Chunked Palindrome Decomposition,Longest Chunked Palindrome Decomposition,https://parikh.club/parikh_mixedadvancedsa36,0.0,0.0,,
,Most Stones Removed,Most Stones Removed,https://parikh.club/parikh_mixedadvancedsa37,0.0,0.0,,
,Buy And Sell Stock Advanced,Buy And Sell Stock Advanced,https://parikh.club/parikh_mixedadvancedsa38,0.0,0.0,,
,Maximum Size Rectangle Sub-matrix With All 1's,Maximum Size Rectangle Sub-matrix With All 1's,https://parikh.club/parikh_mixedadvancedsa39,0.0,0.0,,
,Path With Minimum Effort,Path With Minimum Effort,https://parikh.club/parikh_mixedadvancedsa40,0.0,0.0,,
