Topic,Problem Name With Link,Problem Name,Problem Link,Done,Mark For Revision,Notes,Codes
,BST Delete,BST Delete,https://parikh.club/parikh_bt11,0.0,0.0,,
,Check if binary tree is BST?,Check if binary tree is BST?,https://parikh.club/parikh_bt12,0.0,0.0,,
,Kth smallest element in BST,Kth smallest element in BST,https://parikh.club/parikh_bt13,0.0,0.0,,
,Predecessor And Successor In BST,Predecessor And Successor In BST,https://parikh.club/parikh_bt14,0.0,0.0,,
,Pair sum in BST,Pair sum in BST,https://parikh.club/parikh_bt15,0.0,0.0,,
,,,,,,,
"Mixed Questions - 2 
(Concept learned in BASIC DSA and topics above will be used here. This is critical to become great in DSA.)",,,,,,,
,Find whether array is subset of another array,Find whether array is subset of another array,https://parikh.club/parikh_mixedinterdsa1,0.0,0.0,,
,Median of 2 Sorted Arrays,Median of 2 Sorted Arrays,https://parikh.club/parikh_mixedinterdsa2,0.0,0.0,,
,LCA of 3 nodes,LCA of 3 nodes,https://parikh.club/parikh_mixedinterdsa3,0.0,0.0,,
,Remove Keys Outside Given Range,Remove Keys Outside Given Range,https://parikh.club/parikh_mixedinterdsa4,0.0,0.0,,
,Seach in a row wise and column wise sorted matrix,Seach in a row wise and column wise sorted matrix,https://parikh.club/parikh_mixedinterdsa5,0.0,0.0,,
,Check Linked List is Palindrome?,Check Linked List is Palindrome?,https://parikh.club/parikh_mixedinterdsa6,0.0,0.0,,
,K Reverse Linked List,K Reverse Linked List,https://parikh.club/parikh_mixedinterdsa7,0.0,0.0,,
,Tower Of Hanoi,Tower Of Hanoi,https://parikh.club/parikh_mixedinterdsa8,0.0,0.0,,
,BST Iterator,BST Iterator,https://parikh.club/parikh_mixedinterdsa9,0.0,0.0,,
,Flatten Binary Tree To Linked List,Flatten Binary Tree To Linked List,https://parikh.club/parikh_mixedinterdsa10,0.0,0.0,,
,Rearrange Linked List,Rearrange Linked List,https://parikh.club/parikh_mixedinterdsa11,0.0,0.0,,
,Largest Rectangle In Histogram,Largest Rectangle In Histogram,https://parikh.club/parikh_mixedinterdsa12,0.0,0.0,,
,Quick Sort On Linked List,Quick Sort On Linked List,https://parikh.club/parikh_mixedinterdsa13,0.0,0.0,,
,Sorted Linked List To Balanced BSTs,Sorted Linked List To Balanced BSTs,https://parikh.club/parikh_mixedinterdsa14,0.0,0.0,,
,Binary Tree to Doubly Linked List,Binary Tree to Doubly Linked List,https://parikh.club/parikh_mixedinterdsa15,0.0,0.0,,
,Bottom Right View Of Binary Tree,Bottom Right View Of Binary Tree,https://parikh.club/parikh_mixedinterdsa16,0.0,0.0,,
,Merge Two BSTS,Merge Two BSTS,https://parikh.club/parikh_mixedinterdsa17,0.0,0.0,,
,Merge Two Binary Trees,Merge Two Binary Trees,https://parikh.club/parikh_mixedinterdsa18,0.0,0.0,,
,Sort A Stack,Sort A Stack,https://parikh.club/parikh_mixedinterdsa19,0.0,0.0,,
,Boundary Traversal of Binary Tree,Boundary Traversal of Binary Tree,https://parikh.club/parikh_mixedinterdsa20,0.0,0.0,,
,Longest Substring with K Distinct Characters,Longest Substring with K Distinct Characters,https://parikh.club/parikh_mixedinterdsa21,0.0,0.0,,
,HashMap Implementation,HashMap Implementation,https://parikh.club/parikh_mixedinterdsa22,0.0,0.0,,
,Closest Distance Pair,Closest Distance Pair,https://parikh.club/parikh_mixedinterdsa23,0.0,0.0,,
,Time to burn tree,Time to burn tree,https://parikh.club/parikh_mixedinterdsa24,0.0,0.0,,
,Allocate Books,Allocate Books,https://parikh.club/parikh_mixedinterdsa25,0.0,0.0,,
,Clone A LinkedList With Random And next Pointer,Clone A LinkedList With Random And next Pointer,https://parikh.club/parikh_mixedinterdsa26,0.0,0.0,,
,Fix BST,Fix BST,https://parikh.club/parikh_mixedinterdsa27,0.0,0.0,,
,Nth root of Integer,Nth root of Integer,https://parikh.club/parikh_mixedinterdsa28,0.0,0.0,,
,Size of the largest BST,Size of the largest BST,https://parikh.club/parikh_mixedinterdsa29,0.0,0.0,,
,LRU Cache,LRU Cache,https://parikh.club/parikh_mixedinterdsa30,0.0,0.0,,
